#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GT41.hmm             -            705 KW1-S15_132_cg6_2    -            199   1.5e-23   78.5   2.6   1   1   5.2e-21   3.3e-18   60.8   3.4    56   190    15   168     3   169 0.67 -
CE10.hmm             -            341 KW1-S15_132_cg12_10  -            164   6.7e-15   50.8   0.0   1   1   1.3e-17   8.5e-15   50.5   0.0   165   316     4   136     3   159 0.77 -
AA3_2.hmm            -            568 KW1-S15_132_cg14_3   -            564  2.9e-161  533.2   0.0   1   1  2.6e-163  3.4e-161  533.0   0.0     2   566     8   534     7   536 0.96 -
AA3.hmm              -            618 KW1-S15_132_cg14_3   -            564  3.2e-110  364.6   0.0   1   1  3.1e-112    4e-110  364.3   0.0    88   403     7   539     2   561 0.87 -
AA3_3.hmm            -            590 KW1-S15_132_cg14_3   -            564   2.1e-79  262.7   0.0   1   2   1.9e-63   2.4e-61  203.1   0.0     2   327     8   319     7   357 0.88 -
AA3_3.hmm            -            590 KW1-S15_132_cg14_3   -            564   2.1e-79  262.7   0.0   2   2     6e-17   7.7e-15   49.5   0.0   509   585   458   533   455   537 0.95 -
AA3_1.hmm            -            548 KW1-S15_132_cg14_3   -            564   4.1e-59  195.8   0.0   1   1   1.1e-60   1.4e-58  194.0   0.0    14   544     6   533     2   536 0.78 -
AA8.hmm              -            815 KW1-S15_132_cg14_3   -            564   2.7e-46  153.2   0.0   1   1   1.3e-47   1.6e-45  150.6   0.0   244   773     7   533     2   547 0.76 -
CE10.hmm             -            341 KW1-S15_132_cg14_6   -            258   5.8e-45  149.7   0.2   1   1   9.9e-48   6.3e-45  149.5   0.2    75   208   107   254    42   258 0.87 -
PL29.hmm             -            301 KW1-S15_132_cg33_1   -            433   2.4e-17   58.4   0.0   1   1   5.9e-20   3.8e-17   57.8   0.0    16   254    82   312    72   336 0.76 -
GT2_Glyco_tranf_2_3.hmm PF13641.5    230 KW1-S15_132_cg39_2   -            480   2.5e-24   81.7   1.3   1   1   1.5e-26   3.3e-24   81.3   1.3     3   230    52   278    50   278 0.85 Glycosyltransferase like family 2
GT21.hmm                -            233 KW1-S15_132_cg39_2   -            480   1.1e-16   56.3   0.2   1   1   8.5e-19   1.8e-16   55.6   0.2    77   231   117   277    52   279 0.89 -
GT2_Glycos_transf_2.hmm PF00535.25   170 KW1-S15_132_cg39_2   -            480   3.9e-15   51.4   0.0   1   1   2.8e-17     6e-15   50.8   0.0     1   165    54   212    54   216 0.92 Glycosyl transferase family 2
GT2_Glycos_transf_2.hmm PF00535.25   170 KW1-S15_132_cg42_3   -            229   2.7e-22   74.7   0.0   1   1   5.6e-25   3.6e-22   74.3   0.0     1   166     4   162     4   179 0.90 Glycosyl transferase family 2
AA3_2.hmm            -            568 KW1-S15_132_cg43_13  -            533  3.9e-168  555.9   0.0   1   1  3.6e-170  4.7e-168  555.7   0.0     2   567     3   529     2   530 0.95 -
AA3.hmm              -            618 KW1-S15_132_cg43_13  -            533  1.9e-106  352.1   0.1   1   1  1.7e-108  2.2e-106  351.9   0.1    89   401     3   531     1   532 0.90 -
AA3_3.hmm            -            590 KW1-S15_132_cg43_13  -            533   5.6e-86  284.4   0.0   1   2   1.4e-64   1.8e-62  206.8   0.0     2   339     3   324     2   364 0.86 -
AA3_3.hmm            -            590 KW1-S15_132_cg43_13  -            533   5.6e-86  284.4   0.0   2   2   3.2e-21   4.1e-19   63.6   0.0   510   588   453   530   448   531 0.91 -
